Goal,Layer,Spatial Cover,Temporal Resolution,Temporal Span,Temporal Baseline,Fit Resolution,Fit Comprehensive,Average Score
HAB/CP,Coral habitat maps (LOF),1,0,0,0.5,1,1,0.583333333
HAB/CP,Health & Trend (from Global?),0.5,0,0,0.5,0,0.5,0.25
HAB/CP,Native vegetation area estimates,1,0,0,0,0.5,1,0.416666667
SPP/RES,Species range maps (IUCN),1,NA,NA,NA,1,1,1
SPP/RES,Species conservation status ,1,0.5,0.5,NA,1,0.5,0.7
ICO,Tetiaroa Website (list),1,NA,NA,NA,1,1,1
LSP/PRS/RES,Management areas (verbal from Frank and Neil),1,0,0,0,1,1,0.5
CE,Funding reports (TS Reports),NA,1,0.5,NA,0.5,1,0.75
TR,Beachcomber sustainability statistics (Beachcomber LLC),NA,0.5,0,NA,0.5,0.5,0.375
PRS,Invasive species reports (lists + Franks opinion) TS,1,0,0,NA,0.5,1,0.5
PRS,Sea surface temperature,1,1,1,NA,0.5,1,0.9
PRS,UV ,1,1,1,NA,0.5,1,0.9
PRS,Sea level rise,1,1,1,1,0.5,1,0.916666667
PRS,Ocean acidification,1,1,1,1,0.5,1,0.916666667
RES,Fishing regulations (FP Mariners Guide),0.5,1,NA,0,0.5,0.5,0.5
RES,Local employment (Beach comber),1,0,0,0,0.5,0.5,0.333333333
RES,MPA (verbal),1,1,1,1,1,1,1
RES,Biosecurity Plan ,1,0,0,0,1,1,0.5
Spatial,Shapefiles from David Smith Redlands Univ,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,-,,,,
