habitat,classification,Bellinghausen,Huahini,Maiao,Mopelia,Scilly,Tahaa-Raitea,Tetiaroa,Tupai
Back reef coral bommies,Back reef coral,0.004,0.07,0.004,0.013,0.004,0.202,0.034,0.011
Back reef coral framework,Back reef coral,0.769,5.547,1.977,3.813,4.112,14.603,3.42,3.195
Back reef pavement,Lagoonal Substrate,0.825,2.583,0.767,2.099,7.836,10.831,0,0.642
Back reef rubble dominated,Lagoonal Substrate,0.295,5.666,2.685,3.186,3.661,16.395,2.309,NA
Back reef sediment dominated,Lagoonal Substrate,1.818,11.179,NA,5.005,6.341,52.867,10.028,2.506
Beach sand,Terrestrial,0.316,0.24,0.806,0.668,1.483,0.177,0.461,1.2
Carbonate blocks,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA
Coral rubble,Terrestrial,0.687,0.333,0.194,0.644,0.535,0.833,0.184,0.458
Coralline algal ridge,Nearshore algal communities,0.345,1.049,0.546,0.768,1.143,2.319,0.859,0.769
Deep fore reef slope,Deep fore reef slope,0.652,2.859,0.989,0.736,1.137,8.242,2.02,1.39
Deep lagoonal water,Deep lagoonal water,0.409,15.385,NA,23.243,73.017,116.254,5.603,NA
Fore reef sand flats,Fore reef sand flats,NA,0.014,NA,NA,NA,NA,NA,NA
Inland waters,Terrestrial,0.015,0.048,3.525,NA,NA,0.134,NA,NA
Mud,Terrestrial,NA,NA,0.734,NA,NA,NA,NA,NA
Lagoonal Acropora framework,Lagoonal coral,NA,NA,NA,NA,NA,NA,NA,NA
Lagoonal coral framework,Lagoonal coral,NA,NA,NA,NA,NA,NA,NA,NA
Lagoonal floor barren,Lagoonal substrate,2.158,4.433,NA,5.477,7.75,13.071,4.415,8.118
Lagoonal floor coral bommies,Lagoonal coral,0.001,0.01,NA,0,0.003,0.03,0.006,0.002
Lagoonal fringing reefs,Lagoonal coral,NA,7.21,NA,NA,NA,16.684,NA,NA
Lagoonal floor macroalgae onsediment,Lagoonal macroalgae dominated substrate,0.041,NA,NA,NA,NA,0.046,0,NA
Lagoonal patch reefs,Lagoonal coral,0.064,0.237,NA,0.046,0.023,0.665,0.139,0.054
Lagoonal pavement,Lagoonal substrate,NA,NA,NA,NA,NA,NA,NA,NA
Lagoonal pinnacle reefs branchingcoral dominated,Lagoonal pinnacle reefs,0.648,NA,NA,NA,NA,0.896,NA,NA
Lagoonal pinnacle reefs massivecoral dominated,Lagoonal pinnacle reefs,NA,2.673,NA,0.42,0.304,13.42,1.071,0.229
Lagoonal sediment apron macroalgae,Lagoonal macroalgae dominated substrate,NA,NA,NA,NA,NA,NA,NA,NA
Lagoonal sediment apron sedimentdominated,Lagoonal substrate,0.468,NA,NA,1.294,2.598,NA,0,3.058
Reef-top algal mats,Nearshore algal communities,NA,NA,NA,NA,0.063,NA,NA,NA
Rock,Terrestrial,0.596,2.514,0.136,0.672,2.098,4.775,0.92,0.855
Shallow fore reef slope,Shallow fore reef slope,0.463,3.309,1.106,1.261,1.33,6.42,0.964,1.279
Shallow fore reef terrace,Shallow fore reef terrace,0.337,2.286,0.414,1.076,1.89,4.575,0.695,0.506
Soil,Terrestrial,NA,4.094,NA,NA,NA,NA,NA,NA
Terrestrial vegetation,Terrestrial,2.549,66.279,7.315,3.035,2.524,248.418,4.371,8.531
Urban,Urban,NA,1.742,0.043,0.001,0.001,8.373,0.099,0.06
,,0,0,0,0,0,0,0,0
