goal,element,element_name,sp_alien,prs_sst,prs_uv,prs_oa,prs_slr,prs_mgmt
CP,coral,,1,3,1,3,2,1
CP,mangrove,,,,,,,
CP,saltmarsh,,,,,,,
CP,seagrass,,,2,,,,
CP,seaice_shoreline,,,3,,,,
CP,native_land,,1,,,,,1
CS,mangrove,,,,,,,
CS,saltmarsh,,,,,,,
CS,seagrass,,,2,,,,
CW,,,,,,,,1
ECO,aqf,Aquarium Trade Fishing,,1,,,,1
ECO,cf,Commercial Fishing,,,,,,1
ECO,mar,Mariculture,,,,,,1
ECO,mmw,Marine Mammal Watching,,,,,,1
ECO,tour,Tourism,,,,,,1
ECO,wte,Wave & Tidal Energy,,,,,,1
FIS,,,,,,,,
HAB,coral,,1,3,1,3,2,1
HAB,mangrove,,,,,,,
HAB,saltmarsh,,,,,,,
HAB,seagrass,,,2,,,,
HAB,seaice_edge,,,3,,,,
HAB,soft_bottom,,,,,,,
HAB,native_land,,1,,,,2,1
ICO,,,3,2,1,1,1,1
LIV,cf,Commercial Fishing,,,,,,
LIV,mar,Mariculture,,,,,,
LIV,mmw,Marine Mammal Watching,,,,,,
LIV,ph,Ports & Harbors,,,,,,
LIV,sb,Ship & Boat Building,,,,,,
LIV,tour,Tourism,,,,,,
LIV,tran,Transportation & Shipping,,,,,,
LIV,wte,Wave & Tidal Energy,,,,,,
LSP,,,,,,,1,1
MAR,,,,,,,,
NP,corals,,,3,1,,,
NP,fish_oil,,,1,,,,
NP,ornamentals,,,1,,,,
NP,seaweeds,,,1,,,,
NP,shells,,,1,,,,
NP,sponges,,,1,,,,
SPP,,,1,2,1,1,1,1
TR,,,,,,,1,1
