rgn_id,sciname,iucn_sid,year,eval_yr,category
1,Cheilinus undulatus,4592,2019,2004,EN
1,Chelonia mydas,4615,2019,2004,EN
1,Galeocerdo cuvier,39378,2019,2019,NT
1,Isurus oxyrinchus,39341,2019,2019,EN
1,Megaptera novaeangliae,13006,2019,2018,LC
1,Cheilinus undulatus,4592,2018,2004,EN
1,Chelonia mydas,4615,2018,2004,EN
1,Galeocerdo cuvier,39378,2018,2009,NT
1,Isurus oxyrinchus,39341,2018,2009,VU
1,Megaptera novaeangliae,13006,2018,2018,LC
1,Cheilinus undulatus,4592,2017,2004,EN
1,Chelonia mydas,4615,2017,2004,EN
1,Galeocerdo cuvier,39378,2017,2009,NT
1,Isurus oxyrinchus,39341,2017,2009,VU
1,Megaptera novaeangliae,13006,2017,2008,LC
1,Cheilinus undulatus,4592,2016,2004,EN
1,Chelonia mydas,4615,2016,2004,EN
1,Galeocerdo cuvier,39378,2016,2009,NT
1,Isurus oxyrinchus,39341,2016,2009,VU
1,Megaptera novaeangliae,13006,2016,2008,LC
1,Cheilinus undulatus,4592,2015,2004,EN
1,Chelonia mydas,4615,2015,2004,EN
1,Galeocerdo cuvier,39378,2015,2009,NT
1,Isurus oxyrinchus,39341,2015,2009,VU
1,Megaptera novaeangliae,13006,2015,2008,LC
1,Cheilinus undulatus,4592,2014,2004,EN
1,Chelonia mydas,4615,2014,2004,EN
1,Galeocerdo cuvier,39378,2014,2009,NT
1,Isurus oxyrinchus,39341,2014,2009,VU
1,Megaptera novaeangliae,13006,2014,2008,LC
1,Cheilinus undulatus,4592,2013,2004,EN
1,Chelonia mydas,4615,2013,2004,EN
1,Galeocerdo cuvier,39378,2013,2009,NT
1,Isurus oxyrinchus,39341,2013,2009,VU
1,Megaptera novaeangliae,13006,2013,2008,LC
1,Cheilinus undulatus,4592,2012,2004,EN
1,Chelonia mydas,4615,2012,2004,EN
1,Galeocerdo cuvier,39378,2012,2009,NT
1,Isurus oxyrinchus,39341,2012,2009,VU
1,Megaptera novaeangliae,13006,2012,2008,LC
1,Cheilinus undulatus,4592,2011,2004,EN
1,Chelonia mydas,4615,2011,2004,EN
1,Galeocerdo cuvier,39378,2011,2009,NT
1,Isurus oxyrinchus,39341,2011,2009,VU
1,Megaptera novaeangliae,13006,2011,2008,LC
1,Cheilinus undulatus,4592,2010,2004,EN
1,Chelonia mydas,4615,2010,2004,EN
1,Galeocerdo cuvier,39378,2010,2009,NT
1,Isurus oxyrinchus,39341,2010,2009,VU
1,Megaptera novaeangliae,13006,2010,2008,LC
1,Cheilinus undulatus,4592,2009,2004,EN
1,Chelonia mydas,4615,2009,2004,EN
1,Galeocerdo cuvier,39378,2009,2009,NT
1,Isurus oxyrinchus,39341,2009,2009,VU
1,Megaptera novaeangliae,13006,2009,2008,LC
1,Cheilinus undulatus,4592,2008,2004,EN
1,Chelonia mydas,4615,2008,2004,EN
1,Galeocerdo cuvier,39378,2008,2000,NT
1,Isurus oxyrinchus,39341,2008,2000,NT
1,Megaptera novaeangliae,13006,2008,2008,LC
1,Cheilinus undulatus,4592,2007,2004,EN
1,Chelonia mydas,4615,2007,2004,EN
1,Galeocerdo cuvier,39378,2007,2000,NT
1,Isurus oxyrinchus,39341,2007,2000,NT
1,Megaptera novaeangliae,13006,2007,1996,VU
1,Cheilinus undulatus,4592,2006,2004,EN
1,Chelonia mydas,4615,2006,2004,EN
1,Galeocerdo cuvier,39378,2006,2000,NT
1,Isurus oxyrinchus,39341,2006,2000,NT
1,Megaptera novaeangliae,13006,2006,1996,VU
1,Cheilinus undulatus,4592,2005,2004,EN
1,Chelonia mydas,4615,2005,2004,EN
1,Galeocerdo cuvier,39378,2005,2000,NT
1,Isurus oxyrinchus,39341,2005,2000,NT
1,Megaptera novaeangliae,13006,2005,1996,VU
1,Cheilinus undulatus,4592,2004,2004,EN
1,Chelonia mydas,4615,2004,2004,EN
1,Galeocerdo cuvier,39378,2004,2000,NT
1,Isurus oxyrinchus,39341,2004,2000,NT
1,Megaptera novaeangliae,13006,2004,1996,VU
1,Cheilinus undulatus,4592,2003,1996,VU
1,Chelonia mydas,4615,2003,1996,EN
1,Galeocerdo cuvier,39378,2003,2000,NT
1,Isurus oxyrinchus,39341,2003,2000,NT
1,Megaptera novaeangliae,13006,2003,1996,VU
1,Cheilinus undulatus,4592,2002,1996,VU
1,Chelonia mydas,4615,2002,1996,EN
1,Galeocerdo cuvier,39378,2002,2000,NT
1,Isurus oxyrinchus,39341,2002,2000,NT
1,Megaptera novaeangliae,13006,2002,1996,VU
1,Cheilinus undulatus,4592,2001,1996,VU
1,Chelonia mydas,4615,2001,1996,EN
1,Galeocerdo cuvier,39378,2001,2000,NT
1,Isurus oxyrinchus,39341,2001,2000,NT
1,Megaptera novaeangliae,13006,2001,1996,VU
1,Cheilinus undulatus,4592,2000,1996,VU
1,Chelonia mydas,4615,2000,1996,EN
1,Galeocerdo cuvier,39378,2000,2000,NT
1,Isurus oxyrinchus,39341,2000,2000,NT
1,Megaptera novaeangliae,13006,2000,1996,VU
1,Cheilinus undulatus,4592,1999,1996,VU
1,Chelonia mydas,4615,1999,1996,EN
1,Galeocerdo cuvier,39378,1999,,NT
1,Isurus oxyrinchus,39341,1999,,NT
1,Megaptera novaeangliae,13006,1999,1996,VU
1,Cheilinus undulatus,4592,1998,1996,VU
1,Chelonia mydas,4615,1998,1996,EN
1,Galeocerdo cuvier,39378,1998,,NT
1,Isurus oxyrinchus,39341,1998,,NT
1,Megaptera novaeangliae,13006,1998,1996,VU
1,Cheilinus undulatus,4592,1997,1996,VU
1,Chelonia mydas,4615,1997,1996,EN
1,Galeocerdo cuvier,39378,1997,,NT
1,Isurus oxyrinchus,39341,1997,,NT
1,Megaptera novaeangliae,13006,1997,1996,VU
1,Cheilinus undulatus,4592,1996,1996,VU
1,Chelonia mydas,4615,1996,1996,EN
1,Galeocerdo cuvier,39378,1996,,NT
1,Isurus oxyrinchus,39341,1996,,NT
1,Megaptera novaeangliae,13006,1996,1996,VU
1,Cheilinus undulatus,4592,1995,,VU
1,Chelonia mydas,4615,1995,1994,EN
1,Galeocerdo cuvier,39378,1995,,NT
1,Isurus oxyrinchus,39341,1995,,NT
1,Megaptera novaeangliae,13006,1995,1994,VU
1,Cheilinus undulatus,4592,1994,,VU
1,Chelonia mydas,4615,1994,1994,EN
1,Galeocerdo cuvier,39378,1994,,NT
1,Isurus oxyrinchus,39341,1994,,NT
1,Megaptera novaeangliae,13006,1994,1994,VU
1,Cheilinus undulatus,4592,1993,,VU
1,Chelonia mydas,4615,1993,1990,EN
1,Galeocerdo cuvier,39378,1993,,NT
1,Isurus oxyrinchus,39341,1993,,NT
1,Megaptera novaeangliae,13006,1993,1990,VU
1,Cheilinus undulatus,4592,1992,,VU
1,Chelonia mydas,4615,1992,1990,EN
1,Galeocerdo cuvier,39378,1992,,NT
1,Isurus oxyrinchus,39341,1992,,NT
1,Megaptera novaeangliae,13006,1992,1990,VU
