"region_id","common","class","sciname","category","status","year"
1,"pacific golden plover","aves","pluvialis fulva","LC",1,2020
1,"peppered moray eel","actinopterygii","gymnothorax pictus","LC",1,2020
1,"blotch-eye soldier firsh","actinopterygii","myripristis murdjan","LC",1,2020
1,"bullethead parrotfish","actinopterygii","chlorurus sordidus","LC",1,2020
1,"giant squirrelfish","actinopterygii","sargocentron spiniferum","LC",1,2020
1,"moorish idol","actinopterygii","zanclus cornutus","LC",1,2020
1,"goldlined emperor","actinopterygii","gnathodentex aureolineatus","LC",1,2020
1,"milk fish","actinopterygii","chanos chanos","LC",1,2020
1,"giant jack","actinopterygii","caranx ignobilis","LC",1,2020
1,"silver squirrelfish","actinopterygii","neoniphon argenteus","LC",1,2020
1,"giant moray","actinopterygii","gymnothorax javanicus","LC",1,2020
1,"blackblotch lizardfish","actinopterygii","synodus jaculum","LC",1,2020
1,"helmet gurnard","actinopterygii","dactyloptena orientalis","LC",1,2020
1,"yellowstripe goatfish","actinopterygii","mulloidichthys flavolineatus","LC",1,2020
1,"barred jack","actinopterygii","carangoides ferdau","LC",1,2020
1,"yellow-margined snapper","actinopterygii","lutjanus fulvus","LC",1,2020
1,"dot-dashed goatfish","actinopterygii","parupeneus barberinus","LC",1,2020
1,"blacktip reef shark","chondrichthyes","carcharhinus melanopterus","NT",0.8,2020
1,"coconut crab","malacostraca","birgus latro","DD",0.4,2020
1,"day octopus","cephalopoda","octopus cyanea","LC",1,2020
1,"clam","bivalvia","tridacna maxima","LR/cd",0.9,2020
1,"olive ridley sea turtle","reptilia","lepidochelys olivacea","VU",0.6,2020
1,"twospined angelfish","actinopterygii","centropyge bispinosa","LC",1,2020
1,"lemonpeel angelfish","actinopterygii","centropyge flavissima","LC",1,2020
1,"multicolor angelfish","actinopterygii","centropyge multicolor","LC",1,2020
1,"yellow angelfish","actinopterygii","centropyge heraldi","LC",1,2020
1,"royal angelfish","actinopterygii","pygoplites diacanthus","LC",1,2020
