goal,dimension,region_id,score
AO,resilience,1,11.42
BD,future,0,73.52
BD,future,1,73.52
BD,pressures,1,
BD,resilience,1,
BD,score,0,75.09
BD,score,1,75.09
BD,status,0,76.65
BD,status,1,76.65
BD,trend,1,0
CE,future,0,59.07
CE,future,1,59.07
CE,pressures,1,45.83
CE,resilience,1,52.12
CE,score,0,47.04
CE,score,1,47.04
CE,status,0,35
CE,status,1,35
CE,trend,1,1
CP,future,0,83.5
CP,future,1,83.5
CP,pressures,1,66.95
CP,resilience,1,56.86
CP,score,0,84.77
CP,score,1,84.77
CP,status,0,86.04
CP,status,1,86.04
CP,trend,1,0.01
CW,pressures,1,45.83
CW,resilience,1,54.17
ECO,pressures,1,45.83
ECO,resilience,1,71.45
FIS,resilience,1,31.57
HAB,future,0,69.04
HAB,future,1,69.04
HAB,pressures,1,59.67
HAB,resilience,1,62.09
HAB,score,0,68.68
HAB,score,1,68.68
HAB,status,0,68.32
HAB,status,1,68.32
HAB,trend,1,0
ICO,future,0,88.49
ICO,future,1,88.49
ICO,pressures,1,57.74
ICO,resilience,1,52.12
ICO,score,0,89.17
ICO,score,1,89.17
ICO,status,0,89.84
ICO,status,1,89.84
ICO,trend,1,0.01
Index,future,0,78.84
Index,future,1,78.84
Index,score,0,76.28
Index,score,1,76.28
LIV,resilience,1,54.17
LSP,future,0,82.78
LSP,future,1,82.78
LSP,pressures,1,34.67
LSP,resilience,1,52.73
LSP,score,0,80.45
LSP,score,1,80.45
LSP,status,0,78.12
LSP,status,1,78.12
LSP,trend,1,0
MAR,resilience,1,54.17
NP,pressures,1,21.6
NP,resilience,1,36.96
SP,future,0,85.64
SP,future,1,85.64
SP,pressures,1,
SP,resilience,1,
SP,score,0,84.81
SP,score,1,84.81
SP,status,0,83.98
SP,status,1,83.98
SP,trend,1,0
SPP,future,0,78
SPP,future,1,78
SPP,pressures,1,57.74
SPP,resilience,1,32.79
SPP,score,0,81.49
SPP,score,1,81.49
SPP,status,0,84.99
SPP,status,1,84.99
SPP,trend,1,0
TR,future,0,92.48
TR,future,1,92.48
TR,pressures,1,34.67
TR,resilience,1,54.17
TR,score,0,89.68
TR,score,1,89.68
TR,status,0,86.89
TR,status,1,86.89
TR,trend,1,0
